Question,Answer
1. The Great Pyramid of Giza is the largest of the three major pyramids at the Giza pyramid complex. ,T
2. The Mona Lisa was painted by Rembrandt.,F
3. The tallest mountain in the world is Mount Everest. ,T
4. The chemical symbol for gold is Au. ,T
5. The United States was founded in 1492. ,F
6. The Eiffel Tower is located in Paris, France. ,T
7. Humans have five senses. ,T
8. The Pacific Ocean is the largest ocean in the world. ,T
9. The Amazon rainforest is located in Africa. ,F
10. The Earth orbits the Sun. ,T
11. Diamonds are made of carbon. ,T
12. The Mona Lisa was painted in the 16th century. ,T
13. The Great Wall of China is visible from space. ,F
14. The Olympic Games are held every four years. ,T
15. The Statue of Liberty is located in New York City. ,T
16. There are 365 days in a year. ,T
17. The moon is larger than the Earth. ,F
18. Water boils at 100 degrees Celsius. ,T
19. The Earth is the only planet in our solar system with life. ,F
20. The first successful powered flight occurred in 1903. ,F